1	1	1
1	814	137.22
1	1637	-23.585
1	1687	-113.64
1	1801	113.64
2	2	1
2	815	200.95
2	2701	-109.89
2	2782	65.789
3	3	1
3	816	526.32
3	1473	-526.32
4	4	1
4	1194	-714.29
4	1522	-1714.3
4	2377	-1000
5	817	151.52
5	1021	-151.52
6	1062	-41.322
6	1261	-101.01
6	1296	-68.493
6	1332	-163.93
6	1959	-163.93
6	2094	41.322
6	2095	68.493
6	2096	101.01
7	928	-63.291
7	1759	-113.64
7	2217	-63.291
8	5	1
8	900	-38.842
8	964	-50
8	1178	-42.735
8	1353	-37.479
8	1446	-45.045
8	1975	-45.045
8	2362	-46.729
8	2682	42.735
8	3042	-38.842
8	3043	-37.479
9	1460	-70.423
9	2319	-70.423
10	6	1
10	818	403.47
10	831	-256.41
10	1429	-147.06
10	2755	256.41
10	2952	-147.06
11	1046	-57.803
11	1898	50.761
12	819	89.293
12	2465	40.984
12	2466	48.309
13	7	1
13	1423	-45.872
13	1572	-58.48
13	2219	-58.48
13	2797	-45.872
14	8	1
14	1222	-200
14	1600	-42.552
14	2102	200
15	1613	-30.303
15	2340	-103.09
15	2922	256.41
15	3085	-35.844
16	9	1
16	1054	-41.854
16	1296	-138.89
16	1717	-1111.1
16	1760	1111.1
16	1761	138.89
16	2956	41.854
17	10	1
17	820	909.09
17	1145	-909.09
17	2925	-909.09
18	966	-625
18	2864	625
19	11	1
19	821	833.33
19	1667	-833.33
20	12	1
20	822	833.33
20	1526	-833.33
20	2736	833.33
21	13	1
21	823	245.23
21	1337	-17.953
21	2757	227.27
22	14	1
22	824	404.11
22	933	-77.519
22	1055	-50
22	1172	-50.761
22	1330	-31.746
22	2113	-79.365
22	2291	-31.746
22	2372	-77.519
22	2837	50.761
22	2838	50
22	3067	-44.692
22	3068	-46.24
23	825	356.49
23	1297	-82.645
23	1632	-79.027
23	1912	-82.645
23	2874	75.758
23	3072	-38.979
24	1345	-14.881
24	1458	-17.986
24	2571	17.986
25	15	1
25	826	1428.6
25	2375	1428.6
26	16	1
26	1203	-35.336
27	827	163.42
27	1114	-72.464
27	1287	-15.198
27	2250	-15.198
27	2285	-75.758
27	2495	72.464
28	17	1
28	1006	-833.33
28	2593	-2500
28	2667	833.33
29	18	1
29	828	151.14
29	966	-64.935
29	1625	-86.207
29	2865	86.207
29	2866	64.935
30	829	250.07
30	1309	-74.627
31	19	1
31	830	358.73
31	1688	-200
31	1822	-200
32	924	-217.39
32	1069	-256.41
32	1551	-25.641
32	1872	-357.14
32	1873	-256.41
32	2602	48.544
32	2603	54.645
32	2604	25.641
33	20	1
33	2902	33.445
34	21	1
34	818	-256.41
34	831	296.87
34	963	-40.46
34	2755	-256.41
34	3106	40.46
35	22	1
35	1204	-133.33
35	2368	-833.33
35	2828	-133.33
35	2922	-256.41
36	23	1
36	1257	-50.408
36	1691	-113.64
36	1739	-17.637
36	2445	-113.64
36	2897	17.637
37	832	1733
37	905	-666.67
37	1148	-129.87
37	1309	-222.22
37	2338	714.29
38	24	1
38	833	106.38
38	1289	-106.38
38	2287	106.38
39	25	1
39	834	449.49
39	1882	-222.22
40	835	318.09
40	1333	-45.249
40	1394	-41.888
40	1663	-190.49
40	3083	-40.46
40	3084	-41.888
41	26	1
41	836	690.85
41	1267	-256.41
41	1347	-54.645
41	1409	-250
41	1718	-18.975
41	2739	-18.975
41	2748	250
41	2749	56.18
41	2750	54.645
42	27	1
42	845	-16.949
42	2026	-16.949
42	2670	-42.553
43	28	1
43	837	357.14
